11;2017-12-09 15:00:00;Baluganense;2;Carvalhal;1
11;2017-12-10 10:00:00;Palme;1;Oliveira;2
11;2017-12-10 10:00:00;Leões da Serra;1;Carapeços;0
11;2017-12-10 10:00:00;Remelhe;4;Cossourado;2
11;2017-12-10 10:00:00;Macieira;2;Negreiros;1
11;2017-12-10 10:00:00;Pedra Furada;1;Fragoso;1
11;2017-12-10 10:00:00;Silva;2;Leocadenses;0
11;2017-12-10 10:00:00;Perelhal;4;Pereira;0
11;2017-12-10 10:00:00;CAMPO;4;Feitos;2
12;2017-12-16 15:00:00;Carapeços;5;Palme;0
12;2017-12-17 10:00:00;Oliveira;2;CAMPO;1
12;2017-12-17 10:00:00;Cossourado;0;Leões da Serra;1
12;2017-12-17 10:00:00;Negreiros;0;Remelhe;0
12;2017-12-17 10:00:00;Carvalhal;4;Macieira;2
12;2017-12-17 10:00:00;Fragoso;5;Baluganense;1
12;2017-12-17 10:00:00;Leocadenses;3;Pedra Furada;1
12;2017-12-17 10:00:00;Pereira;1;Silva;1
12;2017-12-17 10:00:00;Feitos;1;Perelhal;1
13;2017-12-23 15:00:00;Oliveira;1;Carapeços;1
13;2017-12-23 15:00:00;Palme;1;Cossourado;3
13;2017-12-23 15:00:00;Leões da Serra;1;Negreiros;0
13;2017-12-23 15:00:00;Remelhe;1;Carvalhal;0
13;2017-12-23 15:00:00;Macieira;1;Fragoso;0
13;2017-12-23 15:00:00;Baluganense;0;Leocadenses;2
13;2017-12-23 15:00:00;Pedra Furada;0;Pereira;1
13;2017-12-23 15:00:00;Silva;1;Feitos;2
13;2017-12-23 15:00:00;CAMPO;1;Perelhal;0
14;2018-01-06 15:00:00;Carapeços;3;CAMPO;2
14;2018-01-07 10:00:00;Cossourado;2;Oliveira;2
14;2018-01-07 10:00:00;Negreiros;0;Palme;1
14;2018-01-07 10:00:00;Carvalhal;4;Leões da Serra;1
14;2018-01-07 10:00:00;Fragoso;1;Remelhe;0
14;2018-01-07 10:00:00;Leocadenses;2;Macieira;3
14;2018-01-07 10:00:00;Pereira;0;Baluganense;0
14;2018-01-07 10:00:00;Feitos;5;Pedra Furada;1
14;2018-01-07 10:00:00;Perelhal;2;Silva;0
15;2018-01-14 10:00:00;Carapeços;5;Cossourado;1
15;2018-01-14 10:00:00;Oliveira;null;Negreiros;null
15;2018-01-14 10:00:00;Palme;0;Carvalhal;0
